Reported case,Reported day,Reported Month,Reported Year,Region of Incident,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Source Quality,Migration Route,UNSD Geographical Grouping,Latitude,Length
2018-06-29,29,6,2018,6,1,6,1,14,1,1,1,Vehicle Accide,"Near Jilib, Somalia",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Eastern Africa,Eastern Africa,0.487983,42.77828
2018-06-28,28,6,2018,9,1,6,1,14,1,1,1,Sho,"Syrian/Turkish border, Idlib province, near Iskenderun, Hatay, Turkey",Syrian Observatory for Human Rights,4,Western Asia,Western Asia,36.57663577196,36.583788674826
2018-06-27,27,6,2018,10,3,6,3,7,1,2,1,Vehicle Accide,"Egnatia highway, near Alexandropoulis, Greece",Ekathimerini,1,Southern Europe,Southern Europe,40.878451475853,25.697494104492
2018-06-27,27,6,2018,3,1,6,1,14,1,1,1,Unknown,"Ranch near Sullivan City, Hidalgo County, Texas, USA",US Border Patrol,5,Central America to US,Northern America,26.292038352495,-98.56431964550801
2018-06-27,27,6,2018,3,1,6,1,14,1,1,1,Presumed drowning,"Río Bravo, near 1821 Old Military Road, Peñitas, Hidalgo County, Texas, USA",US Border Patrol,5,Central America to US,Northern America,26.22469956215,-98.44542784550801
2018-06-27,27,6,2018,3,1,6,1,14,1,1,1,Hyperthermia,"45472 Expressway 281, Linn, Hidalgo County, Texas, USA",Hidalgo County Sheriff's Office,5,Central America to US,Northern America,26.3759813,-98.1436497
2018-06-27,27,6,2018,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.4408897,-111.326268
2018-06-27,27,6,2018,2,1,6,1,14,1,1,1,"Sickness and lack of access to medicines, Vehicle Accide","Sahara desert, Ash Shamaliyah, Suda",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,20.610678,27.916851
2018-06-26,26,6,2018,3,1,6,1,14,1,1,1,Exposure,"Near the Amerind Foundation, Dragoon Road, Benson, Cochise County, Arizona, USA","Tucson News, Bajopalabra",3,Central America to US,Northern America,32.045696116532,-110.07666729417
2018-06-26,26,6,2018,3,1,6,1,14,1,1,1,Unknown,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.0284519,-110.0757424
2018-06-26,26,6,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.7718019,-111.9242651
2018-06-26,26,6,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.0213847,-111.7833199
2018-06-26,26,6,2018,10,1,6,1,14,1,1,1,Exhaustio,Body found on the side of the road in an unspecified location in Slovenia,UNHCR Slovenia,4,Western Balkans,Southern Europe,46.151241,14.995463
2018-06-26,26,6,2018,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,27.053928,14.320411
2018-06-26,26,6,2018,2,1,6,1,14,1,1,1,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter","Near Gedaref, Suda",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,13.966799,35.440559
2018-06-26,26,6,2018,2,1,6,1,14,1,1,1,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter","Sahara desert, Ash Shamaliyah, Suda",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,20.610678,27.916851
2018-06-26,26,6,2018,2,1,6,1,14,1,1,1,Harsh weather/lack of adequate shelter,"Sahara desert near Atbara, Suda",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,18.07428,34.434549
2018-06-25,25,6,2018,10,2,6,2,17,1,2,1,Vehicle Accide,"Road between Radovish and Shtip,  the former Yugoslav Republic of Macedonia",IOM Macedonia,3,Southern Europe,Southern Europe,41.659556367975,22.204903170507997
2018-06-25,25,6,2018,3,1,6,1,14,1,1,1,Dehydratio,"El Cenizo Ranch, Highway 57, Maverick County, Texas, USA",Zócalo,1,Central America to US,Northern America,28.642264135393,-100.33056342577999
2018-06-25,25,6,2018,5,2,6,2,14,1,2,1,Dehydratio,"Sahara desert, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,22.692586,12.480116
2018-06-24,24,6,2018,1,1,4,4,97,1,1,1,Presumed drowning,Unspecified location off the coast of Libya,IOM Libya,4,Central Mediterranea,Uncategorized,33.255516970247996,12.537412725
2018-06-24,24,6,2018,1,8,6,8,14,1,1,1,Presumed drowning,"Bodies recovered in Al Maya (6) and Sayiad (2), Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.812841133477,12.894163513184
2018-06-24,24,6,2018,3,1,6,1,14,1,1,1,Hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.5617059,-111.9580594
2018-06-24,24,6,2018,5,2,6,2,14,1,2,1,Sickness and lack of access to medicines,"Ougadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,12.357222,-1.535278
2018-06-24,24,6,2018,5,2,6,2,14,1,2,1,Vehicle Accide,"Sahara desert, Chad",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Central Africa,Central Africa,23.987799,18.005633
2018-06-24,24,6,2018,6,5,6,5,14,1,1,1,Shot or stabbed,"Near Haramaya, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Eastern Africa,Eastern Africa,9.402564,42.018769
2018-06-24,24,6,2018,2,2,6,2,14,1,1,1,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter, Sexual abuse","Unspecified location in the Sahara desert, Suda",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,19.635357,27.103538
2018-06-24,24,6,2018,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Koudougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,12.25,-2.366667
2018-06-24,24,6,2018,5,1,6,1,14,1,1,1,Unknown,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,12.639167,-8.002778
2018-06-23,23,6,2018,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Rancho El Sinaí, Reynosa, Tamaulipas, Mexico","Debate, El Mañana, El Cinco",3,Central America to US,Central America,26.070579275247002,-98.230603840234
2018-06-23,23,6,2018,3,1,6,1,14,1,1,1,Unknown,"Dos Haches Ranch near Falfurrias, Texas, USA",South Texas Human Rights Center,4,Central America to US,Northern America,27.0140839,-98.2920335
2018-06-23,23,6,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Los Palos Ranch near Falfurrias, Brooks County, Texas, USA",South Texas Human Rights Center,4,Central America to US,Northern America,27.1515352,-98.4470489
2018-06-23,23,6,2018,9,1,6,1,14,1,1,1,Sho,"Syrian/Turkish border, Idlib province, near Iskenderun, Hatay, Turkey",Syrian Observatory for Human Rights,4,Western Asia,Western Asia,36.490566676243,36.549456399435
2018-06-23,23,6,2018,5,1,6,1,14,1,1,1,Vehicle Accide,"Sahara desert, Chad",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Central Africa,Central Africa,23.370165,17.68338
2018-06-23,23,6,2018,5,2,6,2,14,1,1,1,Excessive Physical Abuse,"Sololo, Kenya, near border with Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Eastern Africa,Eastern Africa,3.553899,38.65486
2018-06-23,23,6,2018,5,2,6,2,14,1,1,1,Sickness and lack of access to medicines,"Ougadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,13.57453,-2.41366
2018-06-23,23,6,2018,3,1,6,1,14,1,1,1,"Exposure, Hyperthermia","Open desert, Ocotillo, Imperial County, California, USA",Imperial County Coroner's Office,5,Central America to US,Northern America,32.708766407534,-115.99502781830999
2018-06-22,22,6,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Los Palos Ranch near Falfurrias, Brooks County, Texas, USA",US Border Patrol,5,Central America to US,Northern America,27.2637595,-98.3953063
2018-06-22,22,6,2018,3,1,6,1,14,1,1,1,Drowning,"Los Olmos Creek, near La Paloma Ranch, near Riviera, Kleberg County, Texas, USA","US Border Patrol, Caller Times",5,Central America to US,Northern America,27.2445426,-97.8605978
2018-06-22,22,6,2018,2,2,6,2,14,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydratio","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,23.095196,22.792007
2018-06-22,22,6,2018,2,2,6,2,14,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,22.765384,22.374041
2018-06-22,22,6,2018,2,2,6,2,14,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,25.500028,14.602296
2018-06-22,22,6,2018,5,3,6,3,14,1,3,1,"Dehydration, Harsh weather/lack of adequate shelter","Sahara desert, Chad",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,24.540359,15.774139
2018-06-22,22,6,2018,6,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Galkayo, Somalia",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Eastern Africa,Eastern Africa,6.770377,47.41765
2018-06-22,22,6,2018,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,12.669425,-7.909603
2018-06-21,21,6,2018,1,26,6,26,14,1,1,1,Presumed drowning,Bodies recovered at various locations on the Libyan coas,IOM Libya,4,Central Mediterranea,Uncategorized,32.805835345374,12.879105078018
2018-06-21,21,6,2018,10,1,6,1,14,1,1,1,Presumed drowning,"Lungomare on the corner with Via Tacito, Ventimiglia, Liguria, Italy - near border with France","La Reppublica, Il Giornale",3,Italy to France,Southern Europe,43.785532552199,7.620155941107
2018-06-21,21,6,2018,10,7,6,7,14,1,1,1,Presumed drowning,"Evros/Meriç river, Greece-Turkey border",UNHCR,4,Southern Europe,Southern Europe,40.897774704222,26.252355751245
2018-06-21,21,6,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.1631904,-112.9989586
2018-06-21,21,6,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.3745579,-111.7539556
2018-06-21,21,6,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.7560848,-112.0063418
2018-06-21,21,6,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.7560848,-112.0063418
2018-06-21,21,6,2018,2,2,6,2,14,1,2,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Excessive Physical Abuse","Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,27.093058,14.375318
2018-06-21,21,6,2018,2,2,6,2,14,1,2,1,"Sickness and lack of access to medicines, Starvation, Dehydratio","Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,27.124841,14.279231
2018-06-21,21,6,2018,2,1,6,1,14,1,1,1,Shot or stabbed,"Benghazi, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,31.986596,20.297225
2018-06-20,20,6,2018,1,1,6,1,82,1,1,1,Drowning,"Unspecified location off the coast of Al Hamidiyah, Tajura, Libya",Libyan Coast Guard,5,Central Mediterranea,Uncategorized,33.546891172275,13.464128825
2018-06-20,20,6,2018,1,1,50,50,14,1,1,1,Presumed drowning,"Off the coast of Garabuli, 64 km east of Tripoli, Libya",UNHCR Libya,4,Central Mediterranea,Uncategorized,32.906940206676005,13.713920417969
2018-06-20,20,6,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.2202756,-112.7824362
2018-06-20,20,6,2018,9,1,6,1,14,1,1,1,Sho,"Syria-Turkey border, Idlib Governorate, Syria - en route to Iskenderun, Turkey",Syrian Observatory for Human Rights,4,Western Asia,Western Asia,36.496184527901,36.546557245811
2018-06-20,20,6,2018,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,24.973284,13.37901
2018-06-20,20,6,2018,5,1,6,1,14,1,1,1,Vehicle Accide,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,12.639167,-8.002778
2018-06-19,19,6,2018,10,1,6,1,14,1,1,1,"Vehicle Accident, Crushed by bus","Bus in Berchem-Sainte-Agathe, Brussels, Belgium","RTL, RTBF",3,Western Europe,Western Europe,50.8657821,4.2925975
2018-06-19,19,6,2018,3,1,6,1,14,1,1,1,Presumed drowning,"Río Bravo, near 1821 Military Road, Peñitas, Hidalgo County, Texas, USA","US Border Patrol, Hidalgo County Sheriff's Office",5,Central America to US,Northern America,26.215844689692997,-98.450234364063
2018-06-19,19,6,2018,1,6,95,101,5,1,1,2,Drowning,"North of Al Maya (west of Tripoli), Libya","IOM Libya, UNHCR Libya",4,Central Mediterranea,Uncategorized,32.953662,12.875107
2018-06-19,19,6,2018,1,1,70,70,60,1,1,1,Presumed drowning,"Off the coast of Dela, west of Tripoli, Libya",UNHCR Libya,4,Central Mediterranea,Uncategorized,32.956951061554996,13.088341473828
2018-06-19,19,6,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.9537203,-111.9880761
2018-06-18,18,6,2018,1,5,6,5,115,2,3,1,Drowning,"Unspecified location 8 miles north of Melittah area, Tripoli, Libya","IOM Libya, Libyan Navy, AFP",5,Central Mediterranea,Uncategorized,33.900182962029,13.378376278125
2018-06-18,18,6,2018,3,1,6,1,14,1,1,1,Dehydratio,"Unspecified location on the side of Highway 131 between Eagle Pass and Brackettville, Maverick County, Texas","Desaparecidos y sin reclamar en la frontera, La Rancherita del Aire",4,Central America to US,Northern America,28.928942802688,-100.50104914522
2018-06-18,18,6,2018,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.6575879,-111.0964503
2018-06-18,18,6,2018,3,1,6,1,14,1,1,1,Unknown,"Los Compadres Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,4,Central America to US,Northern America,27.1817247,-98.3827415
2018-06-18,18,6,2018,5,3,6,3,14,1,1,1,"Sickness and lack of access to medicines, Vehicle Accide","Kayes, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,14.45,-11.433333
2018-06-17,17,6,2018,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near International Bridge III, Nuevo Laredo, Tamaulipas, Mexico",Hoy Tamaulipas,1,Central America to US,Central America,27.596676359375,-99.53703104387199
2018-06-17,17,6,2018,3,5,6,5,9,1,1,1,Vehicle Accide,"Highway 85 in Big Wells, Dimmit County, Texas, USA","USA Today, ABC News",3,Central America to US,Northern America,28.573390388485,-99.559687693054
2018-06-17,17,6,2018,1,5,38,43,4,1,1,1,Presumed drowning,"18 miles south of Cabo de Gata, Almería, Spai","Salvamento Marítimo, El País, Europa Press, IDEAL",4,Western Mediterranea,Uncategorized,36.475227818625996,-2.2302081484369998
2018-06-17,17,6,2018,1,1,6,1,523,1,1,1,Presumed drowning,On board a commercial ship after being rescued off the coast of Libya,Il Tempo,1,Central Mediterranea,Uncategorized,33.909919705503995,12.888975225
2018-06-17,17,6,2018,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.4580901,-113.1639958
2018-06-17,17,6,2018,5,3,6,3,14,1,3,1,Sickness and lack of access to medicines,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,12.639167,-8.0657
2018-06-16,16,6,2018,5,12,6,12,15,1,1,1,Vehicle Accide,"Highway 304, Tsangano, Tete province, Mozambique","The East African, Notícias ao Minuto",3,Eastern Africa,Eastern Africa,-15.295060959251002,34.442272972266004
2018-06-16,16,6,2018,3,1,6,1,14,1,1,1,Unknown,"Ranch in Brooks County, Texas, USA",South Texas Human Rights Center,4,Central America to US,Northern America,27.2469995,-98.4312437
2018-06-16,16,6,2018,9,1,6,1,14,1,1,1,Sho,"Syria-Turkey border, near Al-Deriyyeh, Darkush, Idlib Governorate, Syria",Syrian Observatory for Human Rights,4,Western Asia,Western Asia,36.002631757006,36.368229201870996
2018-06-16,16,6,2018,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,25.860996,14.665826
2018-06-16,16,6,2018,2,1,6,1,14,1,1,1,Vehicle Accide,"Sahara desert near Atbara, Suda",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,18.07428,34.434549
2018-06-16,16,6,2018,2,2,6,2,14,1,1,2,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter, Suffocatio","Sahara desert, Sudan, near the border with Egyp",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,21.943709,27.672666
2018-06-16,16,6,2018,2,3,6,3,14,1,1,1,"Excessive Physical Abuse, Sexual abuse","Unspecified location in the Sahara desert, Suda",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,19.635357,27.103538
2018-06-15,15,6,2018,1,4,6,4,14,1,1,1,Presumed drowning,"Gibraltar Strait, between Spain and Morocco","Salvamento Marítimo, El País",5,Western Mediterranea,Uncategorized,36.010331867945,-5.441475625
2018-06-15,15,6,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.0337649,-112.9137217
2018-06-15,15,6,2018,10,1,6,1,14,1,1,1,Stabbed,"Velika Kladuša, Una-Sana, Bosnia and Herzegovina, near border with Croatia",UNHCR,4,Western Balkans,Southern Europe,45.190030824204996,15.788108441401999
2018-06-14,14,6,2018,1,1,6,1,11,1,1,1,Presumed drowning,"Gibraltar Strait, between Spain and Morocco",Salvamento Marítimo,5,Western Mediterranea,Uncategorized,36.008665545045,-5.3989036035160005
